Organism_name	Isoniazid	Rifampicin	Ethambutol	Pyrazinamide	Streptomycin	Ciprofloxacin	Moxifloxacin	Ofloxacin	Amikacin	Capreomycin	Kanamycin	Prothionamide	Ethionamide	URL
SAMEA1403785	R	S	R	R	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403786	R	R	R	S	R	No result	S	S	S	R	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403787	R	S	S	S	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403790	R	R	R	S	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403791	R	R	R	R	R	No result	R	R	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403792	R	R	R	S	R	No result	S	S	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403793	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403795	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403796	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403797	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403798	R	R	S	S	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403799	R	S	S	R	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403800	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403801	R	R	R	S	R	No result	R	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403803	R	R	S	S	S	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403805	R	R	R	R	R	No result	S	S	R	R	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403806	R	S	S	S	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403807	R	R	S	S	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403808	R	S	S	S	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403810	R	R	S	S	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403811	S	R	S	S	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403812	R	R	S	S	R	No result	S	R	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403813	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403814	R	S	S	R	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403815	R	R	S	R	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403816	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403817	R	S	S	R	R	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403818	S	S	S	S	S	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403819	R	R	S	R	R	No result	S	S	S	R	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403821	R	R	R	S	R	No result	S	R	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403822	R	R	S	S	R	No result	S	S	S	S	No result	S	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403823	R	R	R	R	R	No result	R	R	S	S	No result	R	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
SAMEA1403824	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	No result	http://www.nature.com/ng/journal/v46/n3/full/ng.2878.html
